id,synonyms,name
351,[],Гормональний баланс
365,[Пришвидшене старіння],Старіння
367,[],Харчування
381,[],Метаболічне здоров'я
385,[Тривалість життя],Довголіття
386,[ГІ],Глікемічний індекс
388,"[Поліненасичені жирні кислоти, ПНЖК]",Омега-3
390,[],Антиоксиданти
392,[Дієта],Моделі харчування
393,[Метаболічні захворювання],Захворювання
394,[],Інсулінорезистентність
395,[],Баланс жирів у раціоні
396,[],Роль мікронутрієнтів
397,[Метаболізм],Метаболічні захворювання
404,[Підвищений ризик захворювань],Ризик захворювань
408,[Серцеві захворювання],Серцево-судинні хвороби